,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
1147,509,CMS Info Systems,266.9,26.09,3950.12,0,,,,,24.37,,266.4,,,271.9,266.9,270.9,,,,266.4,271.9,266.4,2022-02-04,2022-02-04,0 days,2.065,0.188
1148,596,Thirumalai Chem.,267.5,9.96,2738.89,0.81,75.46,106.23,541.16,70.29,19.55,,267,,,272.5,267.5,271.5,,,,267,272.5,267,2022-02-04,2022-02-04,0 days,2.06,0.187
1149,1780,SNL Bearings,268,9.29,96.74,1.67,3.03,99.34,12.43,39.82,20.7,,267.5,,,273,268,272,,,,267.5,273,267.5,2022-02-04,2022-02-04,0 days,2.056,0.187
1151,870,Vardhman Special,269.5,11.18,1093.16,0.54,19.47,-10.15,359.32,24.92,13.47,,269,,,274.5,269.5,273.5,,,,269,274.5,269,2022-02-04,2022-02-04,0 days,2.045,0.186
1150,213,Fortis Health.,269.55,73.3,20349.79,0,106.86,2828.39,1462.54,47.03,2.59,,269.05,,,274.55,269.55,273.55,,,,269.05,274.55,269.05,2022-02-04,2022-02-04,0 days,2.044,0.186
1152,1317,Wealth First Por,270,24.91,287.69,0.37,2.85,-42.19,6,-9.23,43.59,,269.5,,,275,270,274,,,,269.5,275,269.5,2022-02-04,2022-02-04,0 days,2.041,0.186
1153,95,Canara Bank,270.4,7.73,49054.1,0,1657.09,242.86,17982.5,3.01,5.35,,269.9,,,275.4,270.4,274.4,,,,269.9,275.4,269.9,2022-02-04,2022-02-04,0 days,2.038,0.185
1154,1236,Shiva Texyarn,270.5,15.71,350.63,0.44,8.22,266.96,114.27,37.11,10.41,,270,,,275.5,270.5,274.5,,,,270,275.5,270,2022-02-04,2022-02-04,0 days,2.037,0.185
1155,439,Mazagon Dock,272.5,8.41,5496.05,2.66,135.03,16.89,1570.11,42.79,22.82,,272,,,277.5,272.5,276.5,,,,272,277.5,272,2022-02-04,2022-02-04,0 days,2.022,0.184
1156,1710,COSCO (India),272.85,29.81,113.5,0,0.32,-50,33.09,-0.75,11.85,,272.35,,,277.85,272.85,276.85,,,,272.35,277.85,272.35,2022-02-04,2022-02-04,0 days,2.019,0.184
1157,1421,Kotyark Indust.,272.9,217.14,225.81,0,,,,,12.98,,272.4,,,277.9,272.9,276.9,,,,272.4,277.9,272.4,2022-02-04,2022-02-04,0 days,2.019,0.184
1158,1239,Modi Naturals,274,21.97,346.78,0,2.99,424.56,113.74,26.65,13.7,,273.5,,,279,274,278,,,,273.5,279,273.5,2022-02-04,2022-02-04,0 days,2.011,0.183
1159,737,Repco Home Fin,274.05,6.57,1714.52,0.9,85.92,6.34,329.92,-5.19,9.91,,273.55,,,279.05,274.05,278.05,,,,273.55,279.05,273.55,2022-02-04,2022-02-04,0 days,2.011,0.183
1160,716,Kitex Garments,275.2,19.51,1830.11,0.54,34.71,106.24,202.91,67.83,11.6,,274.7,,,280.2,275.2,279.2,,,,274.7,280.2,274.7,2022-02-04,2022-02-04,0 days,2.002,0.182
1161,409,Triven.Engg.Ind.,275.45,16.64,6659.14,0.63,130.12,37.46,1115.69,-0.55,19.07,,274.95,,,280.45,275.45,279.45,,,,274.95,280.45,274.95,2022-02-04,2022-02-04,0 days,2,0.182
1162,1431,Everest Organics,276,31.34,220.8,0.54,-1.34,-134.54,46.75,4.03,33.78,,275.5,,,281,276,280,,,,275.5,281,275.5,2022-02-04,2022-02-04,0 days,1.996,0.181
1163,1297,Prem. Explosives,277.6,224.45,298.48,0,2.57,-22.82,54.82,21.12,0.69,,277.1,,,282.6,277.6,281.6,,,,277.1,282.6,277.1,2022-02-04,2022-02-04,0 days,1.985,0.18
1164,634,Optiemus Infra.,279.15,22.38,2395.51,0,2.07,4040,95.98,145.1,10.58,,278.65,,,284.15,279.15,283.15,,,,278.65,284.15,278.65,2022-02-04,2022-02-04,0 days,1.974,0.179
1165,1535,Pavna Industries,279.9,33.62,170.47,0,,,,,15.04,,279.4,,,284.9,279.9,283.9,,,,279.4,284.9,279.4,2022-02-04,2022-02-04,0 days,1.969,0.179
1166,1613,B & A Packaging,280,13.49,138.86,0,4.11,-5.08,35.83,24.02,34.07,,279.5,,,285,280,284,,,,279.5,285,279.5,2022-02-04,2022-02-04,0 days,1.968,0.179
1167,540,Gateway Distr.,280.35,20.7,3499.77,1.78,46.91,1271.64,335.74,27.89,8.66,,279.85,,,285.35,280.35,284.35,,,,279.85,285.35,279.85,2022-02-04,2022-02-04,0 days,1.965,0.179
1168,1122,Khadim India,281.3,43.64,505.49,0,6.48,130.65,161.65,32.77,-2.92,,280.8,,,286.3,281.3,285.3,,,,280.8,286.3,280.8,2022-02-04,2022-02-04,0 days,1.959,0.178
1169,686,Eveready Inds.,282.15,6.93,2050.7,0,31.04,-45.75,357.49,-4.06,24.72,,281.65,,,287.15,282.15,286.15,,,,281.65,287.15,281.65,2022-02-04,2022-02-04,0 days,1.953,0.178
1170,938,Pitti Engg.,283.1,18.56,907.34,0.27,12.95,28.34,242.23,79.5,13.87,,282.6,,,288.1,283.1,287.1,,,,282.6,288.1,282.6,2022-02-04,2022-02-04,0 days,1.946,0.177
1171,1249,Asahi Songwon,283.5,11.62,340.98,1.21,6.87,-5.11,93.95,50.85,17.03,,283,,,288.5,283.5,287.5,,,,283,288.5,283,2022-02-04,2022-02-04,0 days,1.943,0.177
1172,1181,Linc,284.4,58.12,423.19,0,3.58,506.82,93.95,45.52,-0.63,,283.9,,,289.4,284.4,288.4,,,,283.9,289.4,283.9,2022-02-04,2022-02-04,0 days,1.937,0.176
1173,1677,Sambandam Spg.,284.5,4.74,121.21,1.4,6.57,737.86,95.21,70.66,11.18,,284,,,289.5,284.5,288.5,,,,284,289.5,284,2022-02-04,2022-02-04,0 days,1.937,0.176
1174,1177,Swelect Energy,285.05,37.12,432.09,1.04,5,-50.79,66.65,27.85,3.75,,284.55,,,290.05,285.05,289.05,,,,284.55,290.05,284.55,2022-02-04,2022-02-04,0 days,1.933,0.176
1175,1036,Binny,285.25,26.85,636.68,0,0.26,-92.05,6,-7.12,9.74,,284.75,,,290.25,285.25,289.25,,,,284.75,290.25,284.75,2022-02-04,2022-02-04,0 days,1.932,0.176
1176,1751,CWD,286,72.74,103.29,,,,,,25.92,,285.5,,,291,286,290,,,,285.5,291,285.5,2022-02-04,2022-02-04,0 days,1.926,0.175
1177,1598,Patels Airtemp,286,12.57,144.99,0.87,2.63,6.91,61.37,22.3,15.76,,285.5,,,291,286,290,,,,285.5,291,285.5,2022-02-04,2022-02-04,0 days,1.926,0.175
1178,1387,Tinna Rubber,287,18.87,245.77,0,4.13,173.51,69.19,83.28,7.53,,286.5,,,292,287,291,,,,286.5,292,286.5,2022-02-04,2022-02-04,0 days,1.92,0.175
1179,1241,Mitsu Chem Plast,287,33.31,346.46,0.07,2.05,-17.67,66.38,36,20.01,,286.5,,,292,287,291,,,,286.5,292,286.5,2022-02-04,2022-02-04,0 days,1.92,0.175
1180,117,H P C L,287.2,4.89,40740.72,7.98,1352.99,-43,96668.75,40.65,19.41,,286.7,,,292.2,287.2,291.2,,,,286.7,292.2,286.7,2022-02-04,2022-02-04,0 days,1.918,0.174
1181,231,IRB Infra.Devl.,287.85,61.85,17383.35,0,42.31,315.21,1465.24,30.44,9.44,,287.35,,,292.85,287.85,291.85,,,,287.35,292.85,287.35,2022-02-04,2022-02-04,0 days,1.914,0.174
1182,162,Zee Entertainmen,288.2,25.92,27682.1,0.87,298.73,-22.73,2112.64,-22.6,14.1,,287.7,,,293.2,288.2,292.2,,,,287.7,293.2,287.7,2022-02-04,2022-02-04,0 days,1.912,0.174
1183,1601,Inv.& Prec.Cast.,288.2,22.99,144.11,0.18,-0.56,27.27,32.55,23.58,4.75,,287.7,,,293.2,288.2,292.2,,,,287.7,293.2,287.7,2022-02-04,2022-02-04,0 days,1.912,0.174
1184,898,Dhunseri Vent.,288.2,2.99,1009.27,0.89,58.96,19.23,45.6,69.14,18.91,,287.7,,,293.2,288.2,292.2,,,,287.7,293.2,287.7,2022-02-04,2022-02-04,0 days,1.912,0.174
1185,1256,Smruthi Organic,289.85,24.62,331.78,1.03,2.67,-54.28,30.55,-17.07,39.12,,289.35,,,294.85,289.85,293.85,,,,289.35,294.85,289.35,2022-02-04,2022-02-04,0 days,1.901,0.173
1186,1805,Peria Kara. Tea,289.95,9.4,89.77,0.51,1.9,-39.87,11.44,-55.93,13.08,,289.45,,,294.95,289.95,293.95,,,,289.45,294.95,289.45,2022-02-04,2022-02-04,0 days,1.9,0.173
1187,1706,Frontier Springs,290.5,14.47,114.44,0,1.23,-46.05,18.86,-13.41,18.24,,290,,,295.5,290.5,294.5,,,,290,295.5,290,2022-02-04,2022-02-04,0 days,1.897,0.172
1188,1148,Shanti Educat.,291.3,176.31,468.99,0,-0.63,47.06,1.01,461.11,1.21,,290.8,,,296.3,291.3,295.3,,,,290.8,296.3,290.8,2022-02-04,2022-02-04,0 days,1.891,0.172
1189,1292,ANG Lifesciences,291.8,43.04,302.49,0.35,,,,,19.38,,291.3,,,296.8,291.8,295.8,,,,291.3,296.8,291.3,2022-02-04,2022-02-04,0 days,1.888,0.172
1190,1405,Bambino Agro Ind,292,25.62,233.87,0.53,3.89,35.54,80.83,-6.57,12.38,,291.5,,,297,292,296,,,,291.5,297,291.5,2022-02-04,2022-02-04,0 days,1.887,0.172
1191,955,Fermenta Biotec.,292.5,26.06,860.87,0.83,4.5,-69.41,99.85,6.94,12.57,,292,,,297.5,292.5,296.5,,,,292,297.5,292,2022-02-04,2022-02-04,0 days,1.884,0.171
1192,1242,Commerl. Synbags,292.65,22.5,345.82,0.68,4.35,27.94,75.88,46.29,13.31,,292.15,,,297.65,292.65,296.65,,,,292.15,297.65,292.15,2022-02-04,2022-02-04,0 days,1.883,0.171
1193,1100,Vinyl Chemicals,292.7,22.16,536.71,1.23,10.62,119.88,333.08,162.91,23.33,,292.2,,,297.7,292.7,296.7,,,,292.2,297.7,292.2,2022-02-04,2022-02-04,0 days,1.882,0.171
1194,1231,Bhartiya Intl.,292.85,17.91,357.47,0,14.99,64,214.55,3.99,2.87,,292.35,,,297.85,292.85,296.85,,,,292.35,297.85,292.35,2022-02-04,2022-02-04,0 days,1.881,0.171
1195,367,Delta Corp,293,101.05,7822.39,0.35,70.38,5460.55,247.22,104.62,0.28,,292.5,,,298,293,297,,,,292.5,298,292.5,2022-02-04,2022-02-04,0 days,1.88,0.171
1196,1031,Shreyas Shipping,293.1,5.69,643.64,0.68,29.44,195.88,75.34,-45.12,9.81,,292.6,,,298.1,293.1,297.1,,,,292.6,298.1,292.6,2022-02-04,2022-02-04,0 days,1.88,0.171
1197,1145,Ajanta Soya,293.45,10.65,472.34,0,18.67,155.4,370.49,54.51,60.23,,292.95,,,298.45,293.45,297.45,,,,292.95,298.45,292.95,2022-02-04,2022-02-04,0 days,1.877,0.171
1198,1305,Tembo Global,293.85,84.59,295.21,0.34,-1.83,-365.22,34.99,21.37,15.27,,293.35,,,298.85,293.85,297.85,,,,293.35,298.85,293.35,2022-02-04,2022-02-04,0 days,1.875,0.17
1199,457,FDC,294.75,17.03,4975.67,0,72.4,-17.83,397.62,7.06,22.24,,294.25,,,299.75,294.75,298.75,,,,294.25,299.75,294.25,2022-02-04,2022-02-04,0 days,1.869,0.17
1200,778,DFM Foods,296.05,269.64,1488.4,0.34,-3.13,-130.33,147.12,4.14,20.01,,295.55,,,301.05,296.05,300.05,,,,295.55,301.05,295.55,2022-02-04,2022-02-04,0 days,1.861,0.169
1201,1380,Natural Capsules,296.1,31.11,249.34,0.33,2.63,121.01,30.2,61.84,11.28,,295.6,,,301.1,296.1,300.1,,,,295.6,301.1,295.6,2022-02-04,2022-02-04,0 days,1.861,0.169
1202,1086,DCM Nouvelle,297,4.37,554.72,0,30.84,151.55,231.25,51.77,14.48,,296.5,,,302,297,301,,,,296.5,302,296.5,2022-02-04,2022-02-04,0 days,1.855,0.169
1203,1290,Innovana Think.,297.35,20.25,304.78,0.42,,,,,31.23,,296.85,,,302.35,297.35,301.35,,,,296.85,302.35,296.85,2022-02-04,2022-02-04,0 days,1.853,0.168
1204,538,R Systems Intl.,299.05,25.36,3537.85,1.9,37.6,39.1,305.77,36.32,26.18,,298.55,,,304.05,299.05,303.05,,,,298.55,304.05,298.55,2022-02-04,2022-02-04,0 days,1.842,0.167
1205,377,PNC Infratech,299.55,13.3,7684.64,0.17,132.47,68.41,1797.69,43.99,16.95,,299.05,,,304.55,299.55,303.55,,,,299.05,304.55,299.05,2022-02-04,2022-02-04,0 days,1.839,0.167
1206,1273,SIL Investments,299.75,10.08,317.73,0.84,17.43,393.77,22.75,256.58,2.68,,299.25,,,304.75,299.75,303.75,,,,299.25,304.75,299.25,2022-02-04,2022-02-04,0 days,1.838,0.167
1207,1115,Banswara Syntex,301.15,12.31,515.44,0.52,11.74,1411.11,306.96,41.49,7.31,,300.65,,,306.15,301.15,305.15,,,,300.65,306.15,300.65,2022-02-04,2022-02-04,0 days,1.829,0.166
1208,93,JSW Energy,301.2,51.01,49518.24,0.69,323.93,162.23,1893.54,17.69,8.87,,300.7,,,306.2,301.2,305.2,,,,300.7,306.2,300.7,2022-02-04,2022-02-04,0 days,1.829,0.166
1209,1308,Palred Technolog,302,180.33,293.89,0,0.37,-69.17,47.2,20.04,12.55,,301.5,,,307,302,306,,,,301.5,307,301.5,2022-02-04,2022-02-04,0 days,1.824,0.166
1210,2048,Hindoo. Mills,302,6.52,50.13,0,0.03,101.01,25.28,80.44,8.01,,301.5,,,307,302,306,,,,301.5,307,301.5,2022-02-04,2022-02-04,0 days,1.824,0.166
1211,717,Panama Petrochem,302.05,7.84,1827.22,0.65,61.92,235.61,563.32,73.17,33.95,,301.55,,,307.05,302.05,306.05,,,,301.55,307.05,301.55,2022-02-04,2022-02-04,0 days,1.824,0.166
1212,1293,BNK Capital,302.3,21.44,302.3,0.83,1.71,144.29,2.01,-68.35,5.74,,301.8,,,307.3,302.3,306.3,,,,301.8,307.3,301.8,2022-02-04,2022-02-04,0 days,1.822,0.166
1213,1110,Hitech Corp.,305.5,18.04,524.72,0.33,9.71,51.72,166.83,35.28,10.46,,305,,,310.5,305.5,309.5,,,,305,310.5,305,2022-02-04,2022-02-04,0 days,1.803,0.164
1214,1413,Rel. Chemotex,306,14.67,230.85,0.65,4.4,7233.33,88.99,42.52,11.09,,305.5,,,311,306,310,,,,305.5,311,305.5,2022-02-04,2022-02-04,0 days,1.8,0.164
1215,315,Brookfield India,306.1,405.41,10257.04,,68.28,31136.36,211.71,,,,305.6,,,311.1,306.1,310.1,,,,305.6,311.1,305.6,2022-02-04,2022-02-04,0 days,1.8,0.164
1216,1175,Magadh Sugar,307.75,14.69,433.66,1.31,-3.03,68.34,198.13,-6.36,8.29,,307.25,,,312.75,307.75,311.75,,,,307.25,312.75,307.25,2022-02-04,2022-02-04,0 days,1.79,0.163
1217,1371,Titan Biotech,308.5,9.9,254.92,0.5,6.39,-11.37,40.86,25.11,60.57,,308,,,313.5,308.5,312.5,,,,308,313.5,308,2022-02-04,2022-02-04,0 days,1.786,0.162
1218,1283,S.M. Gold,308.9,1476.5,310.04,0,0.24,,14.46,,3.71,,308.4,,,313.9,308.9,312.9,,,,308.4,313.9,308.4,2022-02-04,2022-02-04,0 days,1.783,0.162
1219,1260,Poddar Pigments,309.5,12.56,328.38,0.81,6.8,-12.93,76.66,-7.78,13.93,,309,,,314.5,309.5,313.5,,,,309,314.5,309,2022-02-04,2022-02-04,0 days,1.78,0.162
1220,1569,CG-VAK Software,310,21.32,156.56,0.33,2.27,39.26,12.55,11.75,30.38,,309.5,,,315,310,314,,,,309.5,315,309.5,2022-02-04,2022-02-04,0 days,1.777,0.162
1221,534,India Pesticides,310.15,26.57,3571.77,0,42.16,-12.33,178.47,-17.93,52.01,,309.65,,,315.15,310.15,314.15,,,,309.65,315.15,309.65,2022-02-04,2022-02-04,0 days,1.776,0.161
1222,1265,Bombay Super Hyb,310.4,32.93,325.72,0,0.6,39.53,17.18,-2.55,14.98,,309.9,,,315.4,310.4,314.4,,,,309.9,315.4,309.9,2022-02-04,2022-02-04,0 days,1.775,0.161
1223,776,Kopran,311.75,27.74,1502.97,0.99,17.09,2.77,127.57,7.21,30.44,,311.25,,,316.75,311.75,315.75,,,,311.25,316.75,311.25,2022-02-04,2022-02-04,0 days,1.767,0.161
1224,1039,Steelcast,312,22.49,631.49,0.43,8.54,125.93,79,80.57,12.06,,311.5,,,317,312,316,,,,311.5,317,311.5,2022-02-04,2022-02-04,0 days,1.766,0.161
1225,1213,Shree Ganesh Rem,313.3,29.88,376.17,0.46,4.2,51.62,21.13,59.35,27.5,,312.8,,,318.3,313.3,317.3,,,,312.8,318.3,312.8,2022-02-04,2022-02-04,0 days,1.758,0.16
1226,340,KNR Construct.,313.7,22.37,8822.3,0.08,80.45,-49.21,842.01,28.38,22.15,,313.2,,,318.7,313.7,317.7,,,,313.2,318.7,313.2,2022-02-04,2022-02-04,0 days,1.756,0.16
1227,725,Nitin Spinners,314.4,8.19,1767.57,0.48,87.39,657.38,664.66,55.7,10.96,,313.9,,,319.4,314.4,318.4,,,,313.9,319.4,313.9,2022-02-04,2022-02-04,0 days,1.752,0.159
1228,712,Datamatics Glob.,315.15,13.14,1857.74,0.78,36.97,66.83,300.77,-0.76,14.7,,314.65,,,320.15,315.15,319.15,,,,314.65,320.15,314.65,2022-02-04,2022-02-04,0 days,1.748,0.159
1229,1257,Dhunseri Tea,315.2,6.21,331.21,1.05,26.75,-27.49,133.46,-9.79,6.84,,314.7,,,320.2,315.2,319.2,,,,314.7,320.2,314.7,2022-02-04,2022-02-04,0 days,1.748,0.159
1230,633,Kolte Patil Dev.,315.25,26.42,2396.04,0,17.7,180.93,303.78,370.39,4.17,,314.75,,,320.25,315.25,319.25,,,,314.75,320.25,314.75,2022-02-04,2022-02-04,0 days,1.747,0.159
1231,1023,Arihant Capital,316.4,13.08,658.83,0.3,13.11,50.95,48.23,68.11,22.31,,315.9,,,321.4,316.4,320.4,,,,315.9,321.4,315.9,2022-02-04,2022-02-04,0 days,1.741,0.158
1232,1324,M K Exim India,316.9,24.4,284.28,0,3.18,102.55,14.82,17.9,32.88,,316.4,,,321.9,316.9,320.9,,,,316.4,321.9,316.4,2022-02-04,2022-02-04,0 days,1.738,0.158
1233,1700,Welspun Investme,318.8,49.73,116.36,0,-0.4,-4100,0.11,83.33,1.07,,318.3,,,323.8,318.8,322.8,,,,318.3,323.8,318.3,2022-02-04,2022-02-04,0 days,1.728,0.157
1234,466,GE Shipping Co,318.95,18.04,4687.5,2.82,205.29,269.53,938.58,24.61,8.04,,318.45,,,323.95,318.95,322.95,,,,318.45,323.95,318.45,2022-02-04,2022-02-04,0 days,1.727,0.157
1235,1708,Coral Labs.,318.95,9.02,113.85,0,0.45,-76.56,18.42,1.6,13.52,,318.45,,,323.95,318.95,322.95,,,,318.45,323.95,318.45,2022-02-04,2022-02-04,0 days,1.727,0.157
1236,1540,Salona Cotspin,319.45,10.16,168.01,0.32,7.09,467.2,164.37,210.48,13.03,,318.95,,,324.45,319.45,323.45,,,,318.95,324.45,318.95,2022-02-04,2022-02-04,0 days,1.724,0.157
1237,854,IFGL Refractori.,319.5,15.85,1151.46,1.25,20.01,-3.05,309.89,25.86,13.96,,319,,,324.5,319.5,323.5,,,,319,324.5,319,2022-02-04,2022-02-04,0 days,1.724,0.157
1238,1144,Hind.Composites,320,26.58,472.6,0.64,3.65,-54.26,50.4,13.23,2.38,,319.5,,,325,320,324,,,,319.5,325,319.5,2022-02-04,2022-02-04,0 days,1.721,0.156
1239,759,GOCL Corpn.,320.65,23.09,1589.55,0.63,2.12,-87.86,121.87,26.12,6.53,,320.15,,,325.65,320.65,324.65,,,,320.15,325.65,320.15,2022-02-04,2022-02-04,0 days,1.718,0.156
1240,1269,Indo Thai Sec.,321,20.72,321,0.29,3.59,-3.75,6.37,27.66,31.57,,320.5,,,326,321,325,,,,320.5,326,320.5,2022-02-04,2022-02-04,0 days,1.716,0.156
1241,899,Apex Frozen Food,321.25,27.89,1003.87,0.62,22.03,-12.58,267.12,1.86,13.12,,320.75,,,326.25,321.25,325.25,,,,320.75,326.25,320.75,2022-02-04,2022-02-04,0 days,1.715,0.156
1242,1229,K.P. Energy,322,23.71,357.92,0.24,6.93,228.44,71.14,395.4,16.19,,321.5,,,327,322,326,,,,321.5,327,321.5,2022-02-04,2022-02-04,0 days,1.711,0.156
1243,691,Va Tech Wabag,322.25,15.44,2004.09,0,26.22,57.1,683.96,12.43,12.77,,321.75,,,327.25,322.25,326.25,,,,321.75,327.25,321.75,2022-02-04,2022-02-04,0 days,1.709,0.155
1244,224,Guj.St.Petronet,324,10.18,18280.39,0.63,398.4,-20.09,4085.12,37.06,37.58,,323.5,,,329,324,328,,,,323.5,329,323.5,2022-02-04,2022-02-04,0 days,1.7,0.155
1245,364,Granules India,324.55,16.94,8049.03,0.47,80.68,-50.69,888.33,3.52,25.39,,324.05,,,329.55,324.55,328.55,,,,324.05,329.55,324.05,2022-02-04,2022-02-04,0 days,1.697,0.154
1246,934,Suumaya Indust.,325,0.92,912.22,0.86,289.05,867.37,3154.46,1289.08,155.12,,324.5,,,330,325,329,,,,324.5,330,324.5,2022-02-04,2022-02-04,0 days,1.695,0.154
1247,962,Anjani Portland,325,10.94,821.77,1.54,6.89,-66.5,104.76,13.41,32.68,,324.5,,,330,325,329,,,,324.5,330,324.5,2022-02-04,2022-02-04,0 days,1.695,0.154
1248,1902,Bemco Hydraulics,325,20.19,71.07,0,0.36,-84.35,5.98,-66.69,17.32,,324.5,,,330,325,329,,,,324.5,330,324.5,2022-02-04,2022-02-04,0 days,1.695,0.154
1249,473,Godawari Power,325,3.32,4580.75,1.47,328.6,104.32,1606.6,41.97,37.42,,324.5,,,330,325,329,,,,324.5,330,324.5,2022-02-04,2022-02-04,0 days,1.695,0.154
1250,35,Hindustan Zinc,325.25,14.81,137428.54,6.52,2701,22.77,7990,32.44,26.4,,324.75,,,330.25,325.25,329.25,,,,324.75,330.25,324.75,2022-02-04,2022-02-04,0 days,1.694,0.154
1251,793,Kalyani Steels,326.2,5.73,1424.19,2.28,42.78,-29.28,406.7,10.6,22.9,,325.7,,,331.2,326.2,330.2,,,,325.7,331.2,325.7,2022-02-04,2022-02-04,0 days,1.689,0.154
1252,1171,Venus Remedies,328.3,8,438.81,0,5.65,-28.57,124.34,1.97,7.77,,327.8,,,333.3,328.3,332.3,,,,327.8,333.3,327.8,2022-02-04,2022-02-04,0 days,1.678,0.153
1253,1382,Panasonic Energy,331.25,19.24,248.45,2.43,4.57,-43.44,66.17,-4.72,14.26,,330.75,,,336.25,331.25,335.25,,,,330.75,336.25,330.75,2022-02-04,2022-02-04,0 days,1.663,0.151
1254,1250,Jindal Photo,331.95,0.61,340.54,0,255.06,26394.85,0.04,33.33,-0.16,,331.45,,,336.95,331.95,335.95,,,,331.45,336.95,331.45,2022-02-04,2022-02-04,0 days,1.659,0.151
1255,1667,Duncan Engg.,333.8,12.77,123.51,0,1.49,31.86,14.06,17.56,14.52,,333.3,,,338.8,333.8,337.8,,,,333.3,338.8,333.3,2022-02-04,2022-02-04,0 days,1.65,0.15
1256,1235,Jindal Poly Inve,334,1.24,351.04,0,301.35,3276.43,480.72,200200,8.43,,333.5,,,339,334,338,,,,333.5,339,333.5,2022-02-04,2022-02-04,0 days,1.649,0.15
1257,1233,Sheetal Cool,335,116.86,351.75,0,,,,,9.23,,334.5,,,340,335,339,,,,334.5,340,334.5,2022-02-04,2022-02-04,0 days,1.644,0.149
1258,667,HSIL,335.2,21.02,2168.67,1.19,28.49,-20.68,638.75,17.96,8.67,,334.7,,,340.2,335.2,339.2,,,,334.7,340.2,334.7,2022-02-04,2022-02-04,0 days,1.643,0.149
1259,1261,Diamines & Chem.,335.5,20.49,328.13,1.5,3.36,-41.97,14.12,-8.55,34.45,,335,,,340.5,335.5,339.5,,,,335,340.5,335,2022-02-04,2022-02-04,0 days,1.642,0.149
1260,1658,TCI Developers,335.85,89.47,125.26,0,0.39,-44.29,2.78,-1.42,3.48,,335.35,,,340.85,335.85,339.85,,,,335.35,340.85,335.35,2022-02-04,2022-02-04,0 days,1.64,0.149
1261,917,Antony Waste han,337.5,15.84,954.68,0,18.04,45.84,153.5,32.62,21.29,,337,,,342.5,337.5,341.5,,,,337,342.5,337,2022-02-04,2022-02-04,0 days,1.632,0.148
1262,393,Orient Electric,337.55,50.99,7162.36,0.59,38.08,-26.68,678.35,9.71,35.46,,337.05,,,342.55,337.55,341.55,,,,337.05,342.55,337.05,2022-02-04,2022-02-04,0 days,1.632,0.148
1263,1846,Intl. Combustion,338,18.86,80.78,0,2.49,822.22,47.12,35.87,-3.85,,337.5,,,343,338,342,,,,337.5,343,337.5,2022-02-04,2022-02-04,0 days,1.63,0.148
1264,636,MSTC,339.25,16.06,2388.36,1.28,28.3,-1.6,227.71,8.72,19.88,,338.75,,,344.25,339.25,343.25,,,,338.75,344.25,338.75,2022-02-04,2022-02-04,0 days,1.624,0.148
1265,906,Ultramarine Pig.,339.15,16.73,990.3,1.5,16.78,-2.56,118.08,53.97,18.3,,338.65,,,344.15,339.15,343.15,,,,338.65,344.15,338.65,2022-02-04,2022-02-04,0 days,1.624,0.148
1266,358,Allcargo Logist.,339.6,21.8,8343.85,0.58,228.01,246.53,4977.86,113.04,9.81,,339.1,,,344.6,339.6,343.6,,,,339.1,344.6,339.1,2022-02-04,2022-02-04,0 days,1.622,0.147
1267,1389,Deepak Spinners,339.9,6.91,244.38,0.58,11.54,169,159.67,30.1,12.37,,339.4,,,344.9,339.9,343.9,,,,339.4,344.9,339.4,2022-02-04,2022-02-04,0 days,1.621,0.147
1268,1098,Sanmit Infra,341,103.81,538.8,0.1,1.95,1028.57,35.09,396.32,14.84,,340.5,,,346,341,345,,,,340.5,346,340.5,2022-02-04,2022-02-04,0 days,1.615,0.147
1269,403,Jindal Worldwide,341.25,80.09,6842.79,0.05,25.01,42.1,630.51,52.41,10.43,,340.75,,,346.25,341.25,345.25,,,,340.75,346.25,340.75,2022-02-04,2022-02-04,0 days,1.614,0.147
1270,476,Cochin Shipyard,341.95,7.2,4498,4.53,135.82,25.34,696.29,5.92,21.82,,341.45,,,346.95,341.95,345.95,,,,341.45,346.95,341.45,2022-02-04,2022-02-04,0 days,1.611,0.146
1271,1730,Shree Worstex,343,62.98,107.7,0,0.06,-72.73,0.13,-64.86,9.76,,342.5,,,348,343,347,,,,342.5,348,342.5,2022-02-04,2022-02-04,0 days,1.606,0.146
1272,201,Nippon Life Ind.,343.25,29.02,21346.9,2.29,174.05,-17.88,338.53,26.1,30.96,,342.75,,,348.25,343.25,347.25,,,,342.75,348.25,342.75,2022-02-04,2022-02-04,0 days,1.605,0.146
1273,941,Goodluck India,344,15.19,894.62,0.42,20.17,82.37,705.8,67.98,10.72,,343.5,,,349,344,348,,,,343.5,349,343.5,2022-02-04,2022-02-04,0 days,1.601,0.146
1274,1010,Rushil Decor,344.25,72.22,685.01,0.15,7.68,12.61,171.32,80.17,4.63,,343.75,,,349.25,344.25,348.25,,,,343.75,349.25,343.75,2022-02-04,2022-02-04,0 days,1.6,0.145
1275,1194,Ksolves India,345,28.97,409.04,4.71,3.9,39.78,11.97,70.27,161.06,,344.5,,,350,345,349,,,,344.5,350,344.5,2022-02-04,2022-02-04,0 days,1.597,0.145
