,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
37,1660,Gennex Lab.,9.85,23.77,124.56,0,1.11,27.59,14.29,-5.55,14.01,,9.35,,,14.85,9.85,13.85,,,,9.35,14.85,9.35,2022-02-04,2022-02-04,0 days,58.824,5.348
38,1600,Bhandari Hosiery,9.88,24.47,144.76,0.11,1.99,50.76,78.01,24.02,7.14,,9.38,,,14.88,9.88,13.88,,,,9.38,14.88,9.38,2022-02-04,2022-02-04,0 days,58.635,5.33
39,1632,Landmark Prop.,9.99,335.07,134.02,0,0.09,50,0.35,6.06,0.86,,9.49,,,14.99,9.99,13.99,,,,9.49,14.99,9.49,2022-02-04,2022-02-04,0 days,57.956,5.269
40,1854,ESI,10.03,49.49,79.17,0,0.07,-97.19,18.73,-18.64,1.78,,9.53,,,15.03,10.03,14.03,,,,9.53,15.03,9.53,2022-02-04,2022-02-04,0 days,57.712,5.247
41,1645,Zeal Aqua,10.27,26.93,129.48,0,3.58,193.44,85.89,10.34,11.62,,9.77,,,15.27,10.27,14.27,,,,9.77,15.27,9.77,2022-02-04,2022-02-04,0 days,56.295,5.118
42,1899,Croissance Ltd,10.47,1025.29,71.77,0,0.06,100,0.2,400,0.41,,9.97,,,15.47,10.47,14.47,,,,9.97,15.47,9.97,2022-02-04,2022-02-04,0 days,55.165,5.015
43,1783,Swasti Vinayaka,10.64,48.58,95.75,0,0.31,-6.06,5.01,-0.2,14.32,,10.14,,,15.64,10.64,14.64,,,,10.14,15.64,10.14,2022-02-04,2022-02-04,0 days,54.241,4.931
44,1688,East West Holdin,10.91,33.77,119.54,0,1.51,443.18,57.75,52.29,6.09,,10.41,,,15.91,10.91,14.91,,,,10.41,15.91,10.41,2022-02-04,2022-02-04,0 days,52.834,4.803
45,1702,Nivaka Fashions,11.24,250.92,115.42,0,0.06,-25,3.8,20.25,5.93,,10.74,,,16.24,11.24,15.24,,,,10.74,16.24,10.74,2022-02-04,2022-02-04,0 days,51.21,4.655
46,1954,Vama Industries,12.04,82.17,63.24,0,0.1,-94.05,1.77,-84.7,13.95,,11.54,,,17.04,12.04,16.04,,,,11.54,17.04,11.54,2022-02-04,2022-02-04,0 days,47.66,4.333
